call_id,model,condition,repeat,prompt_file,few_shot,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
claude-opus-4-8__P2__r11,claude-opus-4-8,P2,11,claude-opus-4-8__P2__r11.json,,hit_ctrl,overhead_ctrl,overhead_slow,point_slow,point_ctrl,hit_slow,hit_fast,overhead_fast,kickback_slow,kickback_fast,point_fast,kickback_ctrl
claude-opus-4-8__P2__r12,claude-opus-4-8,P2,12,claude-opus-4-8__P2__r12.json,,point_fast,kickback_fast,hit_fast,kickback_slow,overhead_ctrl,overhead_fast,hit_slow,hit_ctrl,point_ctrl,point_slow,kickback_ctrl,overhead_slow
claude-opus-4-8__P2__r13,claude-opus-4-8,P2,13,claude-opus-4-8__P2__r13.json,,kickback_slow,point_fast,overhead_slow,hit_slow,point_ctrl,kickback_fast,hit_fast,point_slow,overhead_fast,hit_ctrl,overhead_ctrl,kickback_ctrl
claude-opus-4-8__P2__r14,claude-opus-4-8,P2,14,claude-opus-4-8__P2__r14.json,,hit_fast,point_ctrl,hit_slow,kickback_slow,point_fast,kickback_ctrl,kickback_fast,point_slow,overhead_slow,overhead_ctrl,hit_ctrl,overhead_fast
claude-opus-4-8__P2__r15,claude-opus-4-8,P2,15,claude-opus-4-8__P2__r15.json,,point_fast,kickback_ctrl,hit_slow,kickback_slow,overhead_fast,hit_fast,kickback_fast,overhead_slow,point_slow,hit_ctrl,point_ctrl,overhead_ctrl
claude-opus-4-8__P3__r01,claude-opus-4-8,P3,1,claude-opus-4-8__P3__r01.json,,hit_ctrl,overhead_ctrl,point_fast,kickback_ctrl,point_ctrl,hit_slow,kickback_fast,kickback_slow,overhead_fast,hit_fast,overhead_slow,point_slow
claude-opus-4-8__P3__r02,claude-opus-4-8,P3,2,claude-opus-4-8__P3__r02.json,,kickback_slow,overhead_slow,point_fast,overhead_ctrl,kickback_ctrl,overhead_fast,kickback_fast,point_slow,hit_fast,hit_ctrl,point_ctrl,hit_slow
claude-opus-4-8__P3__r03,claude-opus-4-8,P3,3,claude-opus-4-8__P3__r03.json,,kickback_ctrl,point_fast,point_slow,hit_ctrl,kickback_fast,overhead_slow,kickback_slow,hit_slow,point_ctrl,hit_fast,overhead_fast,overhead_ctrl
claude-opus-4-8__P3__r04,claude-opus-4-8,P3,4,claude-opus-4-8__P3__r04.json,,kickback_slow,kickback_ctrl,hit_fast,overhead_slow,point_slow,hit_slow,point_fast,hit_ctrl,overhead_ctrl,overhead_fast,point_ctrl,kickback_fast
claude-opus-4-8__P3__r05,claude-opus-4-8,P3,5,claude-opus-4-8__P3__r05.json,,overhead_fast,hit_slow,point_ctrl,kickback_slow,kickback_fast,hit_ctrl,hit_fast,point_slow,overhead_ctrl,overhead_slow,kickback_ctrl,point_fast
claude-opus-4-8__P3__r06,claude-opus-4-8,P3,6,claude-opus-4-8__P3__r06.json,,kickback_fast,point_ctrl,hit_ctrl,overhead_ctrl,hit_fast,point_fast,kickback_slow,hit_slow,kickback_ctrl,overhead_slow,overhead_fast,point_slow
claude-opus-4-8__P3__r07,claude-opus-4-8,P3,7,claude-opus-4-8__P3__r07.json,,point_slow,kickback_ctrl,overhead_slow,kickback_fast,kickback_slow,hit_fast,overhead_fast,point_ctrl,overhead_ctrl,hit_ctrl,point_fast,hit_slow
claude-opus-4-8__P3__r08,claude-opus-4-8,P3,8,claude-opus-4-8__P3__r08.json,,kickback_ctrl,overhead_slow,overhead_fast,point_slow,overhead_ctrl,hit_ctrl,kickback_slow,hit_fast,hit_slow,point_ctrl,kickback_fast,point_fast
claude-opus-4-8__P3__r09,claude-opus-4-8,P3,9,claude-opus-4-8__P3__r09.json,,hit_slow,point_ctrl,overhead_slow,kickback_ctrl,kickback_fast,point_fast,point_slow,hit_fast,overhead_ctrl,hit_ctrl,overhead_fast,kickback_slow
claude-opus-4-8__P3__r10,claude-opus-4-8,P3,10,claude-opus-4-8__P3__r10.json,,kickback_ctrl,point_fast,hit_fast,hit_ctrl,overhead_slow,point_ctrl,overhead_fast,kickback_fast,kickback_slow,point_slow,hit_slow,overhead_ctrl
claude-opus-4-8__P3__r11,claude-opus-4-8,P3,11,claude-opus-4-8__P3__r11.json,,kickback_ctrl,overhead_ctrl,hit_slow,point_fast,kickback_slow,point_ctrl,kickback_fast,overhead_fast,point_slow,hit_ctrl,hit_fast,overhead_slow
claude-opus-4-8__P3__r12,claude-opus-4-8,P3,12,claude-opus-4-8__P3__r12.json,,kickback_fast,hit_ctrl,overhead_fast,overhead_slow,kickback_slow,point_fast,point_slow,overhead_ctrl,point_ctrl,hit_slow,hit_fast,kickback_ctrl
claude-opus-4-8__P3__r13,claude-opus-4-8,P3,13,claude-opus-4-8__P3__r13.json,,point_slow,point_ctrl,overhead_ctrl,point_fast,overhead_slow,kickback_fast,hit_ctrl,kickback_slow,hit_fast,hit_slow,overhead_fast,kickback_ctrl
claude-opus-4-8__P3__r14,claude-opus-4-8,P3,14,claude-opus-4-8__P3__r14.json,,overhead_ctrl,point_ctrl,overhead_fast,kickback_slow,overhead_slow,hit_fast,point_fast,hit_slow,point_slow,kickback_fast,kickback_ctrl,hit_ctrl
claude-opus-4-8__P3__r15,claude-opus-4-8,P3,15,claude-opus-4-8__P3__r15.json,,kickback_fast,overhead_ctrl,overhead_slow,kickback_ctrl,point_slow,kickback_slow,hit_slow,hit_fast,hit_ctrl,point_ctrl,point_fast,overhead_fast
claude-opus-4-8__P4__r01,claude-opus-4-8,P4,1,claude-opus-4-8__P4__r01.json,kickback_fast|hit_slow,overhead_ctrl,kickback_slow,kickback_fast,hit_slow,hit_ctrl,overhead_fast,kickback_ctrl,overhead_slow,hit_fast,point_ctrl,point_fast,point_slow
claude-opus-4-8__P4__r02,claude-opus-4-8,P4,2,claude-opus-4-8__P4__r02.json,kickback_fast|overhead_ctrl,hit_fast,overhead_slow,point_fast,kickback_fast,hit_slow,overhead_ctrl,point_slow,overhead_fast,kickback_slow,point_ctrl,hit_ctrl,kickback_ctrl
claude-opus-4-8__P4__r03,claude-opus-4-8,P4,3,claude-opus-4-8__P4__r03.json,kickback_fast|hit_fast,point_slow,point_fast,kickback_fast,overhead_fast,overhead_ctrl,kickback_ctrl,hit_ctrl,overhead_slow,hit_slow,kickback_slow,hit_fast,point_ctrl
claude-opus-4-8__P4__r04,claude-opus-4-8,P4,4,claude-opus-4-8__P4__r04.json,overhead_ctrl|hit_fast,overhead_slow,point_fast,kickback_ctrl,point_ctrl,hit_ctrl,overhead_ctrl,hit_slow,kickback_slow,hit_fast,point_slow,overhead_fast,kickback_fast
claude-opus-4-8__P4__r05,claude-opus-4-8,P4,5,claude-opus-4-8__P4__r05.json,point_ctrl|overhead_fast,kickback_ctrl,point_ctrl,kickback_fast,overhead_fast,overhead_slow,kickback_slow,hit_ctrl,hit_fast,point_fast,overhead_ctrl,hit_slow,point_slow
claude-opus-4-8__P4__r06,claude-opus-4-8,P4,6,claude-opus-4-8__P4__r06.json,overhead_slow|point_slow,kickback_ctrl,kickback_fast,hit_fast,overhead_ctrl,point_fast,hit_slow,point_slow,hit_ctrl,overhead_slow,overhead_fast,kickback_slow,point_ctrl
claude-opus-4-8__P4__r07,claude-opus-4-8,P4,7,claude-opus-4-8__P4__r07.json,overhead_ctrl|point_slow,point_fast,kickback_fast,overhead_fast,point_ctrl,kickback_slow,hit_ctrl,overhead_slow,kickback_ctrl,hit_slow,hit_fast,overhead_ctrl,point_slow
claude-opus-4-8__P4__r08,claude-opus-4-8,P4,8,claude-opus-4-8__P4__r08.json,hit_ctrl|overhead_ctrl,overhead_ctrl,hit_slow,kickback_slow,overhead_fast,overhead_slow,kickback_ctrl,point_slow,hit_fast,hit_ctrl,point_ctrl,kickback_fast,point_fast
claude-opus-4-8__P4__r09,claude-opus-4-8,P4,9,claude-opus-4-8__P4__r09.json,hit_slow|point_slow,point_slow,kickback_ctrl,point_fast,kickback_fast,hit_slow,hit_ctrl,overhead_slow,overhead_ctrl,point_ctrl,kickback_slow,hit_fast,overhead_fast
claude-opus-4-8__P4__r10,claude-opus-4-8,P4,10,claude-opus-4-8__P4__r10.json,hit_ctrl|hit_slow,overhead_ctrl,point_fast,overhead_fast,point_ctrl,kickback_fast,kickback_ctrl,point_slow,overhead_slow,hit_fast,kickback_slow,hit_slow,hit_ctrl
claude-opus-4-8__P4__r11,claude-opus-4-8,P4,11,claude-opus-4-8__P4__r11.json,overhead_ctrl|point_ctrl,kickback_slow,kickback_ctrl,hit_slow,point_slow,hit_fast,point_ctrl,overhead_ctrl,overhead_fast,kickback_fast,hit_ctrl,overhead_slow,point_fast
claude-opus-4-8__P4__r12,claude-opus-4-8,P4,12,claude-opus-4-8__P4__r12.json,point_fast|kickback_slow,kickback_fast,overhead_ctrl,hit_fast,point_ctrl,hit_ctrl,overhead_fast,point_slow,kickback_slow,point_fast,overhead_slow,hit_slow,kickback_ctrl
claude-opus-4-8__P4__r13,claude-opus-4-8,P4,13,claude-opus-4-8__P4__r13.json,point_slow|hit_ctrl,hit_fast,overhead_slow,hit_ctrl,point_slow,overhead_fast,kickback_slow,hit_slow,kickback_fast,overhead_ctrl,point_ctrl,point_fast,kickback_ctrl
claude-opus-4-8__P4__r14,claude-opus-4-8,P4,14,claude-opus-4-8__P4__r14.json,overhead_fast|point_ctrl,kickback_fast,hit_slow,kickback_ctrl,kickback_slow,overhead_ctrl,point_fast,overhead_fast,hit_ctrl,overhead_slow,point_ctrl,point_slow,hit_fast
claude-opus-4-8__P4__r15,claude-opus-4-8,P4,15,claude-opus-4-8__P4__r15.json,kickback_fast|point_ctrl,hit_slow,kickback_ctrl,point_slow,point_ctrl,hit_fast,overhead_slow,overhead_fast,point_fast,hit_ctrl,kickback_fast,overhead_ctrl,kickback_slow
gpt-5.5__P1__r01,gpt-5.5,P1,1,gpt-5.5__P1__r01.json,,overhead_ctrl,hit_ctrl,overhead_slow,point_slow,kickback_ctrl,point_fast,kickback_slow,hit_slow,hit_fast,point_ctrl,kickback_fast,overhead_fast
gpt-5.5__P1__r02,gpt-5.5,P1,2,gpt-5.5__P1__r02.json,,point_slow,point_ctrl,hit_fast,overhead_ctrl,kickback_slow,hit_ctrl,overhead_fast,overhead_slow,kickback_fast,point_fast,kickback_ctrl,hit_slow
gpt-5.5__P1__r03,gpt-5.5,P1,3,gpt-5.5__P1__r03.json,,overhead_ctrl,point_ctrl,hit_slow,point_fast,hit_fast,hit_ctrl,kickback_ctrl,overhead_fast,kickback_fast,kickback_slow,point_slow,overhead_slow
gpt-5.5__P1__r04,gpt-5.5,P1,4,gpt-5.5__P1__r04.json,,point_slow,kickback_fast,kickback_ctrl,overhead_fast,point_fast,point_ctrl,kickback_slow,hit_fast,hit_slow,overhead_slow,hit_ctrl,overhead_ctrl
gpt-5.5__P1__r05,gpt-5.5,P1,5,gpt-5.5__P1__r05.json,,hit_ctrl,hit_slow,point_fast,overhead_fast,kickback_ctrl,kickback_fast,overhead_ctrl,point_slow,overhead_slow,hit_fast,point_ctrl,kickback_slow
gpt-5.5__P1__r06,gpt-5.5,P1,6,gpt-5.5__P1__r06.json,,kickback_fast,kickback_slow,hit_ctrl,point_fast,point_ctrl,overhead_ctrl,overhead_slow,kickback_ctrl,overhead_fast,point_slow,hit_slow,hit_fast
gpt-5.5__P1__r07,gpt-5.5,P1,7,gpt-5.5__P1__r07.json,,hit_fast,kickback_slow,hit_ctrl,point_ctrl,point_slow,kickback_fast,overhead_slow,overhead_ctrl,hit_slow,kickback_ctrl,overhead_fast,point_fast
gpt-5.5__P1__r08,gpt-5.5,P1,8,gpt-5.5__P1__r08.json,,hit_slow,kickback_fast,kickback_ctrl,hit_ctrl,point_slow,kickback_slow,point_fast,point_ctrl,overhead_slow,overhead_ctrl,hit_fast,overhead_fast
gpt-5.5__P1__r09,gpt-5.5,P1,9,gpt-5.5__P1__r09.json,,hit_ctrl,hit_slow,point_fast,hit_fast,overhead_fast,point_ctrl,overhead_ctrl,kickback_ctrl,kickback_slow,overhead_slow,point_slow,kickback_fast
gpt-5.5__P1__r10,gpt-5.5,P1,10,gpt-5.5__P1__r10.json,,kickback_fast,overhead_slow,kickback_slow,hit_ctrl,point_fast,overhead_fast,point_slow,hit_fast,kickback_ctrl,point_ctrl,overhead_ctrl,hit_slow
gpt-5.5__P1__r11,gpt-5.5,P1,11,gpt-5.5__P1__r11.json,,kickback_slow,overhead_ctrl,hit_fast,point_slow,kickback_ctrl,overhead_fast,point_ctrl,point_fast,overhead_slow,hit_ctrl,kickback_fast,hit_slow
gpt-5.5__P1__r12,gpt-5.5,P1,12,gpt-5.5__P1__r12.json,,overhead_fast,kickback_slow,point_ctrl,overhead_slow,overhead_ctrl,point_fast,kickback_ctrl,hit_fast,hit_slow,kickback_fast,hit_ctrl,point_slow
gpt-5.5__P1__r13,gpt-5.5,P1,13,gpt-5.5__P1__r13.json,,overhead_slow,hit_ctrl,kickback_fast,kickback_ctrl,kickback_slow,hit_fast,overhead_ctrl,point_slow,overhead_fast,point_fast,point_ctrl,hit_slow
gpt-5.5__P1__r14,gpt-5.5,P1,14,gpt-5.5__P1__r14.json,,overhead_fast,overhead_slow,kickback_ctrl,kickback_fast,hit_fast,hit_ctrl,point_ctrl,hit_slow,kickback_slow,point_fast,point_slow,overhead_ctrl
gpt-5.5__P1__r15,gpt-5.5,P1,15,gpt-5.5__P1__r15.json,,point_ctrl,kickback_slow,overhead_fast,kickback_ctrl,point_fast,hit_fast,overhead_slow,point_slow,hit_ctrl,kickback_fast,overhead_ctrl,hit_slow
gemini-3.1-pro__P1__r01,gemini-3.1-pro,P1,1,gemini-3.1-pro__P1__r01.json,,overhead_ctrl,hit_ctrl,overhead_slow,point_slow,kickback_ctrl,point_fast,kickback_slow,hit_slow,hit_fast,point_ctrl,kickback_fast,overhead_fast
gemini-3.1-pro__P1__r02,gemini-3.1-pro,P1,2,gemini-3.1-pro__P1__r02.json,,point_slow,point_ctrl,hit_fast,overhead_ctrl,kickback_slow,hit_ctrl,overhead_fast,overhead_slow,kickback_fast,point_fast,kickback_ctrl,hit_slow
gemini-3.1-pro__P1__r03,gemini-3.1-pro,P1,3,gemini-3.1-pro__P1__r03.json,,overhead_ctrl,point_ctrl,hit_slow,point_fast,hit_fast,hit_ctrl,kickback_ctrl,overhead_fast,kickback_fast,kickback_slow,point_slow,overhead_slow
gemini-3.1-pro__P1__r04,gemini-3.1-pro,P1,4,gemini-3.1-pro__P1__r04.json,,point_slow,kickback_fast,kickback_ctrl,overhead_fast,point_fast,point_ctrl,kickback_slow,hit_fast,hit_slow,overhead_slow,hit_ctrl,overhead_ctrl
gemini-3.1-pro__P1__r05,gemini-3.1-pro,P1,5,gemini-3.1-pro__P1__r05.json,,hit_ctrl,hit_slow,point_fast,overhead_fast,kickback_ctrl,kickback_fast,overhead_ctrl,point_slow,overhead_slow,hit_fast,point_ctrl,kickback_slow
gemini-3.1-pro__P1__r06,gemini-3.1-pro,P1,6,gemini-3.1-pro__P1__r06.json,,kickback_fast,kickback_slow,hit_ctrl,point_fast,point_ctrl,overhead_ctrl,overhead_slow,kickback_ctrl,overhead_fast,point_slow,hit_slow,hit_fast
gemini-3.1-pro__P1__r07,gemini-3.1-pro,P1,7,gemini-3.1-pro__P1__r07.json,,hit_fast,kickback_slow,hit_ctrl,point_ctrl,point_slow,kickback_fast,overhead_slow,overhead_ctrl,hit_slow,kickback_ctrl,overhead_fast,point_fast
gemini-3.1-pro__P1__r08,gemini-3.1-pro,P1,8,gemini-3.1-pro__P1__r08.json,,hit_slow,kickback_fast,kickback_ctrl,hit_ctrl,point_slow,kickback_slow,point_fast,point_ctrl,overhead_slow,overhead_ctrl,hit_fast,overhead_fast
gemini-3.1-pro__P1__r09,gemini-3.1-pro,P1,9,gemini-3.1-pro__P1__r09.json,,hit_ctrl,hit_slow,point_fast,hit_fast,overhead_fast,point_ctrl,overhead_ctrl,kickback_ctrl,kickback_slow,overhead_slow,point_slow,kickback_fast
gemini-3.1-pro__P1__r10,gemini-3.1-pro,P1,10,gemini-3.1-pro__P1__r10.json,,kickback_fast,overhead_slow,kickback_slow,hit_ctrl,point_fast,overhead_fast,point_slow,hit_fast,kickback_ctrl,point_ctrl,overhead_ctrl,hit_slow
gemini-3.1-pro__P1__r11,gemini-3.1-pro,P1,11,gemini-3.1-pro__P1__r11.json,,kickback_slow,overhead_ctrl,hit_fast,point_slow,kickback_ctrl,overhead_fast,point_ctrl,point_fast,overhead_slow,hit_ctrl,kickback_fast,hit_slow
gemini-3.1-pro__P1__r12,gemini-3.1-pro,P1,12,gemini-3.1-pro__P1__r12.json,,overhead_fast,kickback_slow,point_ctrl,overhead_slow,overhead_ctrl,point_fast,kickback_ctrl,hit_fast,hit_slow,kickback_fast,hit_ctrl,point_slow
gemini-3.1-pro__P1__r13,gemini-3.1-pro,P1,13,gemini-3.1-pro__P1__r13.json,,overhead_slow,hit_ctrl,kickback_fast,kickback_ctrl,kickback_slow,hit_fast,overhead_ctrl,point_slow,overhead_fast,point_fast,point_ctrl,hit_slow
gemini-3.1-pro__P1__r14,gemini-3.1-pro,P1,14,gemini-3.1-pro__P1__r14.json,,overhead_fast,overhead_slow,kickback_ctrl,kickback_fast,hit_fast,hit_ctrl,point_ctrl,hit_slow,kickback_slow,point_fast,point_slow,overhead_ctrl
gemini-3.1-pro__P1__r15,gemini-3.1-pro,P1,15,gemini-3.1-pro__P1__r15.json,,point_ctrl,kickback_slow,overhead_fast,kickback_ctrl,point_fast,hit_fast,overhead_slow,point_slow,hit_ctrl,kickback_fast,overhead_ctrl,hit_slow
claude-sonnet-4-6__P1__r01,claude-sonnet-4-6,P1,1,claude-sonnet-4-6__P1__r01.json,,overhead_ctrl,hit_ctrl,overhead_slow,point_slow,kickback_ctrl,point_fast,kickback_slow,hit_slow,hit_fast,point_ctrl,kickback_fast,overhead_fast
claude-sonnet-4-6__P1__r02,claude-sonnet-4-6,P1,2,claude-sonnet-4-6__P1__r02.json,,point_slow,point_ctrl,hit_fast,overhead_ctrl,kickback_slow,hit_ctrl,overhead_fast,overhead_slow,kickback_fast,point_fast,kickback_ctrl,hit_slow
claude-sonnet-4-6__P1__r03,claude-sonnet-4-6,P1,3,claude-sonnet-4-6__P1__r03.json,,overhead_ctrl,point_ctrl,hit_slow,point_fast,hit_fast,hit_ctrl,kickback_ctrl,overhead_fast,kickback_fast,kickback_slow,point_slow,overhead_slow
claude-sonnet-4-6__P1__r04,claude-sonnet-4-6,P1,4,claude-sonnet-4-6__P1__r04.json,,point_slow,kickback_fast,kickback_ctrl,overhead_fast,point_fast,point_ctrl,kickback_slow,hit_fast,hit_slow,overhead_slow,hit_ctrl,overhead_ctrl
claude-sonnet-4-6__P1__r05,claude-sonnet-4-6,P1,5,claude-sonnet-4-6__P1__r05.json,,hit_ctrl,hit_slow,point_fast,overhead_fast,kickback_ctrl,kickback_fast,overhead_ctrl,point_slow,overhead_slow,hit_fast,point_ctrl,kickback_slow
claude-sonnet-4-6__P1__r06,claude-sonnet-4-6,P1,6,claude-sonnet-4-6__P1__r06.json,,kickback_fast,kickback_slow,hit_ctrl,point_fast,point_ctrl,overhead_ctrl,overhead_slow,kickback_ctrl,overhead_fast,point_slow,hit_slow,hit_fast
claude-sonnet-4-6__P1__r07,claude-sonnet-4-6,P1,7,claude-sonnet-4-6__P1__r07.json,,hit_fast,kickback_slow,hit_ctrl,point_ctrl,point_slow,kickback_fast,overhead_slow,overhead_ctrl,hit_slow,kickback_ctrl,overhead_fast,point_fast
claude-sonnet-4-6__P1__r08,claude-sonnet-4-6,P1,8,claude-sonnet-4-6__P1__r08.json,,hit_slow,kickback_fast,kickback_ctrl,hit_ctrl,point_slow,kickback_slow,point_fast,point_ctrl,overhead_slow,overhead_ctrl,hit_fast,overhead_fast
claude-sonnet-4-6__P1__r09,claude-sonnet-4-6,P1,9,claude-sonnet-4-6__P1__r09.json,,hit_ctrl,hit_slow,point_fast,hit_fast,overhead_fast,point_ctrl,overhead_ctrl,kickback_ctrl,kickback_slow,overhead_slow,point_slow,kickback_fast
claude-sonnet-4-6__P1__r10,claude-sonnet-4-6,P1,10,claude-sonnet-4-6__P1__r10.json,,kickback_fast,overhead_slow,kickback_slow,hit_ctrl,point_fast,overhead_fast,point_slow,hit_fast,kickback_ctrl,point_ctrl,overhead_ctrl,hit_slow
claude-sonnet-4-6__P1__r11,claude-sonnet-4-6,P1,11,claude-sonnet-4-6__P1__r11.json,,kickback_slow,overhead_ctrl,hit_fast,point_slow,kickback_ctrl,overhead_fast,point_ctrl,point_fast,overhead_slow,hit_ctrl,kickback_fast,hit_slow
claude-sonnet-4-6__P1__r12,claude-sonnet-4-6,P1,12,claude-sonnet-4-6__P1__r12.json,,overhead_fast,kickback_slow,point_ctrl,overhead_slow,overhead_ctrl,point_fast,kickback_ctrl,hit_fast,hit_slow,kickback_fast,hit_ctrl,point_slow
